2:[{'rouge-1': {'r': 0.023255813953488372, 'p': 0.045454545454545456, 'f': 0.030769226291124916}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.023255813953488372, 'p': 0.045454545454545456, 'f': 0.030769226291124916}}]
3:[{'rouge-1': {'r': 0.21739130434782608, 'p': 0.18518518518518517, 'f': 0.1999999950320001}, 'rouge-2': {'r': 0.18181818181818182, 'p': 0.15384615384615385, 'f': 0.16666666170138905}, 'rouge-l': {'r': 0.21739130434782608, 'p': 0.18518518518518517, 'f': 0.1999999950320001}}]
4:[{'rouge-1': {'r': 0.43478260869565216, 'p': 0.7142857142857143, 'f': 0.540540535836377}, 'rouge-2': {'r': 0.34782608695652173, 'p': 0.5714285714285714, 'f': 0.43243242772826884}, 'rouge-l': {'r': 0.391304347826087, 'p': 0.6428571428571429, 'f': 0.48648648178232295}}]
5:[{'rouge-1': {'r': 0.5625, 'p': 0.9, 'f': 0.6923076875739645}, 'rouge-2': {'r': 0.4, 'p': 0.6666666666666666, 'f': 0.49999999531250006}, 'rouge-l': {'r': 0.4375, 'p': 0.7, 'f': 0.5384615337278107}}]
6:[{'rouge-1': {'r': 0.6111111111111112, 'p': 0.7857142857142857, 'f': 0.6874999950781251}, 'rouge-2': {'r': 0.5142857142857142, 'p': 0.6666666666666666, 'f': 0.5806451563735693}, 'rouge-l': {'r': 0.6111111111111112, 'p': 0.7857142857142857, 'f': 0.6874999950781251}}]
7:[{'rouge-1': {'r': 0.1891891891891892, 'p': 0.3181818181818182, 'f': 0.2372881309164034}, 'rouge-2': {'r': 0.08108108108108109, 'p': 0.14285714285714285, 'f': 0.10344827124256857}, 'rouge-l': {'r': 0.1891891891891892, 'p': 0.3181818181818182, 'f': 0.2372881309164034}}]
8:[{'rouge-1': {'r': 0.6923076923076923, 'p': 0.6923076923076923, 'f': 0.6923076873076923}, 'rouge-2': {'r': 0.56, 'p': 0.56, 'f': 0.5599999950000001}, 'rouge-l': {'r': 0.6923076923076923, 'p': 0.6923076923076923, 'f': 0.6923076873076923}}]
9:[{'rouge-1': {'r': 0.6896551724137931, 'p': 0.6896551724137931, 'f': 0.6896551674137932}, 'rouge-2': {'r': 0.625, 'p': 0.6451612903225806, 'f': 0.6349206299218948}, 'rouge-l': {'r': 0.6896551724137931, 'p': 0.6896551724137931, 'f': 0.6896551674137932}}]
10:[{'rouge-1': {'r': 0.8085106382978723, 'p': 0.9743589743589743, 'f': 0.8837209252758248}, 'rouge-2': {'r': 0.7608695652173914, 'p': 0.9210526315789473, 'f': 0.8333333283786848}, 'rouge-l': {'r': 0.8085106382978723, 'p': 0.9743589743589743, 'f': 0.8837209252758248}}]
11:[{'rouge-1': {'r': 0.14285714285714285, 'p': 0.2, 'f': 0.1666666618055557}, 'rouge-2': {'r': 0.04081632653061224, 'p': 0.05555555555555555, 'f': 0.04705881864636729}, 'rouge-l': {'r': 0.12244897959183673, 'p': 0.17142857142857143, 'f': 0.14285713799603195}}]
12:[{'rouge-1': {'r': 0.05555555555555555, 'p': 0.043478260869565216, 'f': 0.04878048287923905}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.05555555555555555, 'p': 0.043478260869565216, 'f': 0.04878048287923905}}]
13:[{'rouge-1': {'r': 0.6538461538461539, 'p': 0.5862068965517241, 'f': 0.6181818131966943}, 'rouge-2': {'r': 0.52, 'p': 0.4642857142857143, 'f': 0.490566032751869}, 'rouge-l': {'r': 0.6538461538461539, 'p': 0.5862068965517241, 'f': 0.6181818131966943}}]
14:[{'rouge-1': {'r': 0.5, 'p': 0.391304347826087, 'f': 0.439024385318263}, 'rouge-2': {'r': 0.2777777777777778, 'p': 0.22727272727272727, 'f': 0.24999999505000006}, 'rouge-l': {'r': 0.5, 'p': 0.391304347826087, 'f': 0.439024385318263}}]
15:[{'rouge-1': {'r': 0.5, 'p': 0.6190476190476191, 'f': 0.5531914844182889}, 'rouge-2': {'r': 0.36, 'p': 0.4090909090909091, 'f': 0.3829787184246266}, 'rouge-l': {'r': 0.4230769230769231, 'p': 0.5238095238095238, 'f': 0.4680851014395655}}]
16:[{'rouge-1': {'r': 0.36, 'p': 0.32142857142857145, 'f': 0.33962263652545394}, 'rouge-2': {'r': 0.28, 'p': 0.25, 'f': 0.2641509384122464}, 'rouge-l': {'r': 0.36, 'p': 0.32142857142857145, 'f': 0.33962263652545394}}]
17:[{'rouge-1': {'r': 0.6808510638297872, 'p': 0.8648648648648649, 'f': 0.7619047569756235}, 'rouge-2': {'r': 0.5283018867924528, 'p': 0.7368421052631579, 'f': 0.6153846105204687}, 'rouge-l': {'r': 0.574468085106383, 'p': 0.7297297297297297, 'f': 0.6428571379280047}}]
18:[{'rouge-1': {'r': 0.5909090909090909, 'p': 0.8125, 'f': 0.6842105214404434}, 'rouge-2': {'r': 0.43478260869565216, 'p': 0.6666666666666666, 'f': 0.5263157846952908}, 'rouge-l': {'r': 0.5909090909090909, 'p': 0.8125, 'f': 0.6842105214404434}}]
19:[{'rouge-1': {'r': 0.4, 'p': 0.4, 'f': 0.3999999950000001}, 'rouge-2': {'r': 0.2413793103448276, 'p': 0.2413793103448276, 'f': 0.2413793053448277}, 'rouge-l': {'r': 0.36666666666666664, 'p': 0.36666666666666664, 'f': 0.36666666166666667}}]
20:[{'rouge-1': {'r': 0.26666666666666666, 'p': 0.38095238095238093, 'f': 0.31372548535178785}, 'rouge-2': {'r': 0.12903225806451613, 'p': 0.2, 'f': 0.1568627403306422}, 'rouge-l': {'r': 0.26666666666666666, 'p': 0.38095238095238093, 'f': 0.31372548535178785}}]
21:[{'rouge-1': {'r': 0.3055555555555556, 'p': 0.5238095238095238, 'f': 0.38596490762696223}, 'rouge-2': {'r': 0.2571428571428571, 'p': 0.42857142857142855, 'f': 0.32142856674107145}, 'rouge-l': {'r': 0.3055555555555556, 'p': 0.5238095238095238, 'f': 0.38596490762696223}}]
